X,beta,r0,eta0,zeta0,Xout
dt=3fb604e3e700545d
3fd3333333333333,3feba83a83a83a84,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe38c2d3dd72eb0
3f50624dd2f1a9fc,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec507de5e0
3fa661b807058f11,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c4a8918f463
3fb6202ecfb9c869,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde93e6fee32600
3fc087c0cdf864a5,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe01345c162099b
3fc5ff6a3413e515,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0e2ae6557b007
3fcb77139a2f6585,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1b8fdd25379ab
3fd0775e802572fb,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe2975b69c2bb75
3fd3333333333333,3ff4a9b101767dcf,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe37f6c05e8e396
3f50624dd2f1a9fc,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec50735e84
3fa661b807058f11,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c3c9464c31b
3fb6202ecfb9c869,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde93764fa112db
3fc087c0cdf864a5,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe012805abe75d2
3fc5ff6a3413e515,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0e0c2ec8f20f6
3fcb77139a2f6585,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1b5044e8e961c
3fd0775e802572fb,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe290028620ea6f
3fd3333333333333,3ffb7f44c118de5b,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe372d08e9dd13e
3f50624dd2f1a9fc,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec5068d727
3fa661b807058f11,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c2ea008ebc3
3fb6202ecfb9c869,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde9305ad242d89
3fc087c0cdf864a5,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe011bb2e71cf2e
3fc5ff6a3413e515,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0ded89f94134c
3fcb77139a2f6585,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe1b10f31ae15dc
3fd0775e802572fb,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe288b74455569e
3fd3333333333333,40012a6c405d9f73,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe3665a36c182eb
3f50624dd2f1a9fc,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdb8eec505e4fcb
3fa661b807058f11,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fdd0c20ac056c42
3fb6202ecfb9c869,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fde9295176ad822
3fc087c0cdf864a5,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe010f63c66d784
3fc5ff6a3413e515,40049536202ecfba,3fc999999999999a,bfd0000000000000,bfbb6db6db6db6dc,3fe0dcef7d7635a5
